Deviation Number,Status,T2 Location or Site,Title,Create Date,Overall Due,Initiator,Step Name,Step Due,Extensions,Type,Department,Closure Date,Tracking Code,System Flag,Review Bucket
DEV26062201,Deviation Forms Open,USA,Documentation Review Required,6/22/2022,7/22/2022,user31,Risk Evaluation,8/5/2022,4,Unplanned,Infrastructure,,TRK-4079,XF-74,A
DEV26070501,Deviation Forms Open,USA,Inventory Traceability Assessment,7/5/2022,8/4/2022,user58,Technical Assessment,1/13/2023,8,Unplanned,Laboratory Services,,TRK-2920,XF-53,D
DEV26092501,Deviation Forms Open,,Process Control Verification,9/25/2024,10/25/2024,user82,Risk Evaluation,9/26/2024,0,,,,TRK-6311,XF-33,C
DEV26011701,Deviation Forms Open,USA,Material Handling Review,1/17/2025,2/16/2025,user83,Risk Evaluation,6/22/2026,2,Unplanned,Inventory Control,,TRK-6519,XF-34,B
DEV26030201,Deviation Forms Open,USA,Quality Record Reconciliation,3/2/2025,4/1/2025,user62,Impact Assessment,3/1/2026,0,Unplanned,Infrastructure,,TRK-8587,XF-88,C
DEV26071601,Deviation Forms Open,USA,Process Control Verification,7/16/2025,8/15/2025,user51,Impact Assessment,2/20/2026,1,Unplanned,Production,,TRK-2623,XF-59,C
DEV26082801,Deviation Forms Open,USA,Material Handling Review,8/28/2025,9/27/2025,user15,Risk Evaluation,6/19/2026,1,Unplanned,Production,,TRK-9834,XF-87,B
DEV26101401,Deviation Forms Open,USA,Documentation Review Required,10/14/2025,11/13/2025,user84,Impact Assessment,11/9/2025,0,Unplanned,,,TRK-1463,XF-11,A
DEV26102301,Deviation Forms Open,USA,Process Control Verification,10/23/2025,11/22/2025,user07,Risk Evaluation,6/10/2026,1,Unplanned,Laboratory Services,,TRK-8186,XF-78,C
DEV26103001,Deviation Forms Open,USA,Equipment Status Evaluation,10/30/2025,11/29/2025,user63,Disposition Review,10/30/2026,4,Unplanned,Infrastructure,,TRK-3311,XF-93,C
DEV26021601,Deviation Forms Open,USA,Documentation Review Required,2/16/2026,3/18/2026,user02,Disposition Review,6/19/2026,2,Unplanned,Production,,TRK-9613,XF-17,B
DEV26040601,Deviation Forms Open,USA,Equipment Status Evaluation,4/6/2026,5/6/2026,user41,Risk Evaluation,8/21/2026,3,Unplanned,Production,,TRK-8436,XF-96,A
DEV26042301,Deviation Forms Open,China,质量体系改进行动,4/23/2026,5/23/2026,user18,Risk Evaluation,8/28/2026,3,Unplanned,Inventory Control,,TRK-4195,XF-47,C
DEV26050401,Deviation Forms Open,USA,Quality Record Reconciliation,5/4/2026,6/3/2026,user87,Investigation Review,8/28/2026,3,Unplanned,Infrastructure,,TRK-1184,XF-47,A
DEV26050801,Deviation Forms Open,China,设备状态检查项目,5/8/2026,6/7/2026,user17,Investigation Review,9/14/2026,2,Unplanned,Laboratory Services,,TRK-8331,XF-82,D
DEV26051001,Deviation Forms Open,China,工艺流程优化评估,5/10/2026,6/9/2026,user46,Technical Assessment,7/9/2026,1,Unplanned,Production,,TRK-1284,XF-67,C
DEV26052101,Deviation Forms Open,USA,Process Control Verification,5/21/2026,6/20/2026,user84,Quality Approval,8/27/2026,0,Unplanned,Quality Systems,,TRK-4465,XF-82,D
DEV26061201,Deviation Forms Open,China,生产记录审核异常,6/12/2026,7/12/2026,user73,Technical Assessment,9/29/2026,2,Unplanned,Quality Systems,,TRK-5560,XF-39,A
DEV26061501,Deviation Forms Open,USA,Quality Record Reconciliation,6/15/2026,7/15/2026,user08,Risk Evaluation,7/6/2026,0,Unplanned,Engineering,,TRK-3501,XF-30,C
DEV26061502,Deviation Forms Open,USA,Equipment Status Evaluation,6/15/2026,7/15/2026,user77,Disposition Review,7/5/2026,0,Unplanned,Engineering,,TRK-5856,XF-69,B
DEV26062101,Deviation Forms Open,USA,Process Control Verification,6/21/2026,7/21/2026,user58,Disposition Review,7/16/2026,0,Unplanned,Production,,TRK-1798,XF-63,B
