Deviation Number,Status,T2 Location or Site,Title,Create Date,Overall Due,Initiator,Step Name,Step Due,Extensions,Type,Department,Closure Date,Tracking Code,System Flag,Review Bucket
DEV260622,Deviation Forms Open,USA,Documentation Review Required,6/22/2022,7/22/2022,user24,Disposition Review,8/5/2022,4,Unplanned,Inventory Control,,TRK-4182,XF-61,B
DEV260705,Deviation Forms Open,USA,Material Handling Review,7/5/2022,8/4/2022,user84,Investigation Review,1/13/2023,8,Unplanned,Production,,TRK-8630,XF-47,D
DEV260925,Deviation Forms Open,,Process Control Verification,9/25/2024,10/25/2024,user92,Risk Evaluation,9/26/2024,0,,,,TRK-8541,XF-74,A
DEV260117,Deviation Forms Open,USA,Equipment Status Evaluation,1/17/2025,2/16/2025,user39,Risk Evaluation,6/22/2026,2,Unplanned,Quality Systems,,TRK-1069,XF-50,C
DEV260302,Deviation Forms Open,USA,Documentation Review Required,3/2/2025,4/1/2025,user89,Disposition Review,3/1/2026,0,Unplanned,Quality Systems,,TRK-6910,XF-63,C
DEV260716,Deviation Forms Open,USA,Inventory Traceability Assessment,7/16/2025,8/15/2025,user67,Technical Assessment,2/20/2026,1,Unplanned,Laboratory Services,,TRK-8263,XF-33,C
DEV260828,Deviation Forms Open,USA,Process Control Verification,8/28/2025,9/27/2025,user47,Technical Assessment,6/19/2026,1,Unplanned,Quality Systems,,TRK-4806,XF-70,B
DEV261014,Deviation Forms Open,USA,Quality Record Reconciliation,10/14/2025,11/13/2025,user93,Quality Approval,11/9/2025,0,Unplanned,,,TRK-5544,XF-55,B
DEV261023,Deviation Forms Open,USA,Inventory Traceability Assessment,10/23/2025,11/22/2025,user31,Quality Approval,6/10/2026,1,Unplanned,Quality Systems,,TRK-5855,XF-11,A
DEV261030,Deviation Forms Open,USA,Inventory Traceability Assessment,10/30/2025,11/29/2025,user34,Technical Assessment,10/30/2026,4,Unplanned,Inventory Control,,TRK-9548,XF-22,C
DEV260216,Deviation Forms Open,USA,Documentation Review Required,2/16/2026,3/18/2026,user70,Impact Assessment,6/19/2026,2,Unplanned,Inventory Control,,TRK-3911,XF-28,D
DEV260406,Deviation Forms Open,USA,Inventory Traceability Assessment,4/6/2026,5/6/2026,user81,Risk Evaluation,6/26/2026,2,Unplanned,Inventory Control,,TRK-4844,XF-37,B
DEV260423,Deviation Forms Open,China,工艺流程优化评估,4/23/2026,5/23/2026,user19,Risk Evaluation,8/30/2026,3,Unplanned,Laboratory Services,,TRK-1915,XF-75,D
DEV260504,Deviation Forms Open,USA,Material Handling Review,5/4/2026,6/3/2026,user03,Investigation Review,5/14/2026,3,Unplanned,Engineering,,TRK-3057,XF-32,A
DEV260508,Deviation Forms Open,China,设备状态检查项目,5/8/2026,6/7/2026,user05,Quality Approval,9/14/2026,2,Unplanned,Engineering,,TRK-5192,XF-68,B
DEV260510,Deviation Forms Open,China,工艺流程优化评估,5/10/2026,6/9/2026,user60,Disposition Review,7/9/2026,1,Unplanned,Infrastructure,,TRK-7655,XF-93,A
DEV260521,Deviation Forms Open,USA,Equipment Status Evaluation,5/21/2026,6/20/2026,user80,Technical Assessment,5/25/2026,0,Unplanned,Quality Systems,,TRK-7301,XF-39,B
DEV260612,Deviation Forms Open,China,偏差调查跟进,6/12/2026,7/12/2026,user70,Technical Assessment,9/29/2026,2,Unplanned,Quality Systems,,TRK-2397,XF-54,B
DEV260615,Deviation Forms Open,USA,Quality Record Reconciliation,6/15/2026,7/15/2026,user23,Disposition Review,7/6/2026,0,Unplanned,Production,,TRK-7295,XF-47,B
DEV260615,Deviation Forms Open,USA,Documentation Review Required,6/15/2026,7/15/2026,user55,Investigation Review,7/5/2026,0,Unplanned,Quality Systems,,TRK-3646,XF-55,B
DEV260621,Deviation Forms Open,USA,Documentation Review Required,6/21/2026,7/21/2026,user95,Technical Assessment,7/16/2026,0,Unplanned,Quality Systems,,TRK-5871,XF-40,A
DEV260621,Deviation Forms Open,USA,Material Handling Review,6/21/2026,7/21/2026,user82,Impact Assessment,7/26/2026,0,Unplanned,Production,,TRK-9408,XF-93,A
DEV260706,Deviation Forms Open,China,偏差调查跟进,7/6/2026,8/5/2026,user79,Technical Assessment,9/29/2026,1,Unplanned,Quality Systems,,TRK-9596,XF-82,B
DEV260708,Deviation Forms Open,USA,Process Control Verification,7/8/2026,8/7/2026,user92,Investigation Review,8/12/2026,0,Unplanned,Inventory Control,,TRK-6760,XF-52,C
DEV260715,Deviation Forms Open,China,质量体系改进行动,7/15/2026,8/14/2026,user36,Investigation Review,9/29/2026,1,Unplanned,Infrastructure,,TRK-1282,XF-24,B
DEV260716,Deviation Forms Open,China,工艺流程优化评估,7/16/2026,8/15/2026,user55,Risk Evaluation,9/29/2026,2,Unplanned,Quality Systems,,TRK-7127,XF-28,D
DEV260717,Deviation Forms Open,USA,Documentation Review Required,7/17/2026,8/16/2026,user40,Disposition Review,8/12/2026,0,Unplanned,Quality Systems,,TRK-7451,XF-53,D
DEV260720,Deviation Forms Open,USA,Material Handling Review,7/20/2026,8/19/2026,user14,Technical Assessment,8/15/2026,0,Unplanned,Laboratory Services,,TRK-6762,XF-68,A
DEV260720,Deviation Forms Open,USA,Material Handling Review,7/20/2026,8/19/2026,user86,Disposition Review,8/10/2026,0,Unplanned,Quality Systems,,TRK-1039,XF-89,A
DEV260720,Deviation Forms Open,USA,Equipment Status Evaluation,7/20/2026,8/19/2026,user15,Quality Approval,8/10/2026,0,Unplanned,Inventory Control,,TRK-8885,XF-93,A
