CAPA Owner,CAPA Number,T2 Linked Source,T7 CAPA Reference,Date Opened,Overall Due,H_Extension Request Counter,Title,Vault,Product Involved?,Site List,T2 Event Location or Site,Product Line,APi #1,Lot #1,APi #2,Lot #2,APi #3,Lot #3,Department,Step Name,Step Due Date,Related to Deviation?,Customer Notification (CA),Customer Notification (PA)
,CAPA26060401,DEV260570,,06/04/2021,10/4/2021 7:23:50 PM,16.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,USA,,,,,,,,Production,Execution Tracking,09/30/2025,,,
user46,CAPA26030901,,,03/09/2022,7/9/2022 1:38:33 PM,5.0,Process Documentation Review,CAPA Forms Open,No,,,,,,,,,,Laboratory Services,Verification Review,09/30/2025,,,
user87,CAPA26042901,DEV260599,,04/29/2022,8/29/2022 7:17:34 PM,7.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Production,Verification Review,01/24/2026,,,
user24,CAPA26102401,,,10/24/2022,2/23/2023 1:55:33 AM,3.0,Inventory Control Improvement,CAPA Forms Open,No,,USA,,,,,,,,Production,Quality Board Review,06/15/2026,,,
user06,CAPA26111401,DEV260125,,11/14/2022,3/16/2023 8:57:05 PM,3.0,Training Effectiveness Review,CAPA Forms Open,No,,USA,,,,,,,,Engineering,Cause Analysis,09/26/2025,,,
user59,CAPA26063001,DEV260563,,06/30/2023,10/30/2023 8:40:46 PM,7.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Execution Tracking,07/27/2026,,,
,CAPA26110801,,,11/08/2023,3/9/2024 6:49:52 PM,2.0,Quality System Enhancement,CAPA Forms Open,,,USA,,,,,,,,,Quality Board Review,06/26/2026,,,
user25,CAPA26121201,,,12/12/2023,4/12/2024 3:06:03 PM,1.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Production,Action Plan Review,08/28/2026,,,
user56,CAPA26031201,DEV260302,,03/12/2024,7/12/2024 7:40:00 PM,2.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Production,Quality Board Review,06/30/2026,,,
user68,CAPA26032501,,,03/25/2024,7/25/2024 7:57:37 AM,2.0,Training Effectiveness Review,CAPA Forms Open,Yes,,China,Commercial/Generic,,,,,,,工程管理组,Execution Tracking,03/30/2026,,,
